,usaf,wban,windir,windspeed,skycond,tempc,dewpoint,tempf,datetime
0,725090,14739,270,57.0,99999,5.6,28.04,42.08,2016-01-01 00:00:00
1,725090,14739,260,51.0,22000,5.0,28.04,41.0,2016-01-01 01:00:00
2,725090,14739,260,62.0,1433,5.0,26.96,41.0,2016-01-01 02:00:00
3,725090,14739,260,46.0,1433,4.4,26.96,39.92,2016-01-01 03:00:00
5,725090,14739,260,57.0,1311,4.4,26.96,39.92,2016-01-01 04:00:00
6,725090,14739,250,62.0,1280,3.9,26.060000000000002,39.02,2016-01-01 05:00:00
9,725090,14739,250,51.0,1219,3.9,26.060000000000002,39.02,2016-01-01 06:00:00
11,725090,14739,260,67.0,1280,3.9,26.060000000000002,39.02,2016-01-01 07:00:00
12,725090,14739,240,31.0,1341,3.3,26.96,37.94,2016-01-01 08:00:00
13,725090,14739,230,41.0,1311,2.8,26.96,37.04,2016-01-01 09:00:00
15,725090,14739,250,41.0,1341,3.3,26.060000000000002,37.94,2016-01-01 10:00:00
16,725090,14739,230,46.0,1311,2.8,26.060000000000002,37.04,2016-01-01 11:00:00
17,725090,14739,240,51.0,1433,2.2,26.060000000000002,35.96,2016-01-01 12:00:00
19,725090,14739,250,41.0,7620,2.2,24.98,35.96,2016-01-01 13:00:00
20,725090,14739,250,57.0,1494,3.3,26.060000000000002,37.94,2016-01-01 14:00:00
21,725090,14739,250,57.0,1433,3.9,24.98,39.02,2016-01-01 15:00:00
23,725090,14739,280,46.0,1311,4.4,24.98,39.92,2016-01-01 16:00:00
24,725090,14739,260,67.0,22000,5.0,24.98,41.0,2016-01-01 17:00:00
25,725090,14739,270,67.0,1311,4.4,24.08,39.92,2016-01-01 18:00:00
27,725090,14739,270,57.0,1311,5.0,23.0,41.0,2016-01-01 19:00:00
28,725090,14739,290,51.0,1402,4.4,23.0,39.92,2016-01-01 20:00:00
29,725090,14739,250,46.0,1676,3.9,23.0,39.02,2016-01-01 21:00:00
31,725090,14739,260,51.0,1463,3.9,23.0,39.02,2016-01-01 22:00:00
32,725090,14739,250,46.0,1829,3.9,24.08,39.02,2016-01-01 23:00:00
33,725090,14739,240,57.0,2286,3.3,24.98,37.94,2016-01-02 00:00:00
35,725090,14739,270,77.0,1981,2.8,24.08,37.04,2016-01-02 01:00:00
36,725090,14739,270,67.0,2286,2.2,24.98,35.96,2016-01-02 02:00:00
37,725090,14739,280,82.0,2591,2.2,21.02,35.96,2016-01-02 03:00:00
39,725090,14739,260,93.0,22000,1.1,19.04,33.98,2016-01-02 04:00:00
40,725090,14739,270,67.0,22000,0.6,17.96,33.08,2016-01-02 05:00:00
42,725090,14739,270,67.0,22000,0.6,17.96,33.08,2016-01-02 06:00:00
44,725090,14739,280,88.0,22000,0.0,17.06,32.0,2016-01-02 07:00:00
45,725090,14739,280,62.0,22000,0.0,17.06,32.0,2016-01-02 08:00:00
46,725090,14739,260,57.0,22000,0.0,17.96,32.0,2016-01-02 09:00:00
48,725090,14739,260,57.0,22000,-0.6,17.96,30.92,2016-01-02 10:00:00
49,725090,14739,250,57.0,22000,0.0,17.96,32.0,2016-01-02 11:00:00
50,725090,14739,250,51.0,22000,0.0,19.04,32.0,2016-01-02 12:00:00
52,725090,14739,240,46.0,1829,0.0,19.939999999999998,32.0,2016-01-02 13:00:00
53,725090,14739,230,62.0,22000,0.6,21.02,33.08,2016-01-02 14:00:00
54,725090,14739,270,57.0,22000,1.7,21.02,35.06,2016-01-02 15:00:00
56,725090,14739,290,67.0,22000,2.8,19.939999999999998,37.04,2016-01-02 16:00:00
57,725090,14739,260,62.0,22000,3.3,19.04,37.94,2016-01-02 17:00:00
58,725090,14739,270,67.0,22000,3.9,17.96,39.02,2016-01-02 18:00:00
60,725090,14739,270,88.0,22000,3.9,17.96,39.02,2016-01-02 19:00:00
61,725090,14739,240,62.0,22000,3.9,17.96,39.02,2016-01-02 20:00:00
62,725090,14739,280,67.0,22000,2.8,17.06,37.04,2016-01-02 21:00:00
64,725090,14739,280,62.0,22000,2.8,17.96,37.04,2016-01-02 22:00:00
65,725090,14739,290,82.0,22000,2.2,17.96,35.96,2016-01-02 23:00:00
66,725090,14739,270,62.0,22000,1.7,17.96,35.06,2016-01-03 00:00:00
68,725090,14739,230,41.0,1311,1.1,19.939999999999998,33.98,2016-01-03 01:00:00
69,725090,14739,240,36.0,1311,1.7,19.939999999999998,35.06,2016-01-03 02:00:00
70,725090,14739,230,46.0,1311,1.1,19.939999999999998,33.98,2016-01-03 03:00:00
72,725090,14739,220,41.0,1341,1.1,21.02,33.98,2016-01-03 04:00:00
73,725090,14739,210,46.0,1311,1.1,19.939999999999998,33.98,2016-01-03 05:00:00
75,725090,14739,240,46.0,1311,1.1,19.939999999999998,33.98,2016-01-03 06:00:00
77,725090,14739,220,46.0,1280,0.6,19.939999999999998,33.08,2016-01-03 07:00:00
78,725090,14739,210,46.0,22000,-0.6,21.02,30.92,2016-01-03 08:00:00
79,725090,14739,220,51.0,4267,0.0,19.939999999999998,32.0,2016-01-03 09:00:00
81,725090,14739,230,51.0,4572,0.0,19.939999999999998,32.0,2016-01-03 10:00:00
82,725090,14739,220,46.0,4572,-0.6,19.939999999999998,30.92,2016-01-03 11:00:00
83,725090,14739,220,57.0,4572,-0.6,19.939999999999998,30.92,2016-01-03 12:00:00
85,725090,14739,230,57.0,22000,-0.6,21.02,30.92,2016-01-03 13:00:00
86,725090,14739,230,72.0,4572,1.1,21.92,33.98,2016-01-03 14:00:00
87,725090,14739,250,67.0,22000,3.3,23.0,37.94,2016-01-03 15:00:00
89,725090,14739,240,57.0,22000,4.4,23.0,39.92,2016-01-03 16:00:00
90,725090,14739,260,57.0,22000,5.6,24.08,42.08,2016-01-03 17:00:00
91,725090,14739,290,72.0,1402,5.6,23.0,42.08,2016-01-03 18:00:00
93,725090,14739,240,62.0,22000,6.1,23.0,42.980000000000004,2016-01-03 19:00:00
94,725090,14739,270,46.0,22000,6.1,21.92,42.980000000000004,2016-01-03 20:00:00
95,725090,14739,250,82.0,22000,5.6,21.92,42.08,2016-01-03 21:00:00
97,725090,14739,260,41.0,22000,4.4,23.0,39.92,2016-01-03 22:00:00
98,725090,14739,280,46.0,22000,4.4,23.0,39.92,2016-01-03 23:00:00
99,725090,14739,250,31.0,22000,3.9,23.0,39.02,2016-01-04 00:00:00
101,725090,14739,220,46.0,22000,2.8,24.08,37.04,2016-01-04 01:00:00
102,725090,14739,220,46.0,22000,1.7,24.08,35.06,2016-01-04 02:00:00
103,725090,14739,250,51.0,22000,2.8,24.08,37.04,2016-01-04 03:00:00
105,725090,14739,270,46.0,22000,2.2,24.08,35.96,2016-01-04 04:00:00
106,725090,14739,280,36.0,22000,1.7,24.08,35.06,2016-01-04 05:00:00
