,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,airport
17078,720169,116,WASHINGTON REGIONAL AIRPORT,US,MO,KFYG,38.583,-91.0,149.1,20120209,20181020,True
17122,720272,94282,SKAGIT REGIONAL AIRPORT,US,WA,KBVS,48.467,-122.417,42.7,20060101,20181019,True
17146,720285,3734,MIDDLE PENINSULA REGIONAL AIRPORT,US,VA,KFYJ,37.521,-76.765,7.3,20060101,20181019,True
17170,720299,53966,MID-WAY REGIONAL AIRPORT,US,TX,KJWY,32.455999999999996,-96.913,228.3,20060101,20181020,True
17203,720317,3735,STAFFORD REGIONAL AIRPORT,US,VA,KRMN,38.398,-77.456,64.6,20060101,20181019,True
17246,720347,63877,GREENE COUNTY REGIONAL AIRPORT,US,GA,K3J7,33.598,-83.139,206.4,20060101,20181019,True
17255,720354,63901,ALTUS/QUARTZ MOUNTAIN REGIONAL AIRPORT,US,OK,KAXS,34.699,-99.338,436.8,20060101,20181020,True
17256,720355,3732,GREATER CUMBERLAND REGIONAL AIRPORT,US,MD,KCBE,39.6,-78.767,236.2,20060428,20181019,True
17258,720356,13999,CLINTON REGIONAL AIRPORT,US,OK,KCLK,35.538000000000004,-98.93299999999999,492.6,20060101,20181020,True
17261,720358,53999,EL RENO REGIONAL AIRPORT,US,OK,KRQO,35.473,-98.006,431.9,20060101,20181020,True
17365,720458,476,BIG SANDY REGIONAL AIRPORT,US,KY,KSJS,37.751,-82.637,372.5,20120531,20181019,True
17375,720476,455,HANNIBAL REGIONAL AIRPORT,US,MO,KHAE,39.725,-91.444,234.7,20121115,20181019,True
17496,720599,192,CHESTER CATAWBA REGIONAL AIRPORT,US,SC,KDCM,34.783,-81.2,200.3,20090105,20181019,True
17500,720602,194,BARNWELL REGIONAL AIRPORT,US,SC,KBNL,33.25,-81.383,75.3,20090105,20181019,True
17504,720604,196,WILLIAMSBURG REGIONAL AIRPORT,US,SC,KCKI,33.717,-79.85,20.1,20090105,20181019,True
17513,720609,201,LOWCOUNTRY REGIONAL AIRPORT,US,SC,KRBW,32.917,-80.633,31.1,20130101,20181019,True
17521,720614,205,LINCOLN REGIONAL AIRPORT KARL HARDER FIELD,US,CA,KLHM,38.909,-121.351,37.2,20090510,20181019,True
17537,720627,214,STIGLER REGIONAL AIRPORT,US,OK,KGZL,35.283,-95.1,183.2,20090312,20181019,True
17547,720633,219,HARTSVILLE REGIONAL AIRPORT,US,SC,KHVS,34.4,-80.117,111.3,20090403,20181019,True
17572,720649,231,HALIFAX NORTHAMPTON REGIONAL AIRPORT,US,NC,KIXA,36.33,-77.635,44.2,20090722,20181019,True
17601,720674,249,WEST GEORGIA REGIONAL AIRPORT O V GRAY FIELD,US,GA,KCTJ,33.633,-85.15,354.2,20110101,20181019,True
17650,720738,267,THOMASVILLE REGIONAL AIRPORT,US,GA,KTVI,30.901999999999997,-83.881,80.2,20100701,20181019,True
17706,720866,292,MERCER COUNTY REGIONAL AIRPORT,US,ND,KHZE,47.29,-101.581,553.2,20110101,20181019,True
17775,720944,324,BELLEFONTAINE REGIONAL AIRPORT,US,OH,KEDJ,40.367,-83.81700000000001,342.3,20110512,20181019,True
17781,720948,328,JIMMY CARTER REGIONAL AIRPORT,US,GA,KACJ,32.11,-84.189,142.7,20110711,20181019,True
17785,720951,330,EAST GEORGIA REGIONAL AIRPORT,US,GA,KSBO,32.609,-82.37,100.3,20110704,20181019,True
17801,720962,337,HEART OF GEORGIA REGIONAL AIRPORT,US,GA,KEZM,32.214,-83.12799999999999,93.3,20111102,20181019,True
17810,720967,457,FALSE RIVER REGIONAL AIRPORT,US,LA,KHZR,30.718000000000004,-91.479,12.2,20111221,20181019,True
17871,721031,348,TULLAHOMA REGIONAL AIRPORT WILLIAM NORTHERN FIELD,US,TN,KTHA,35.38,-86.24600000000001,330.1,20120408,20181019,True
17892,721048,471,PRESIDIO LELY INTERNATIONAL AIRPORT,US,TX,KPRS,29.634,-104.361,896.1,20130731,20181019,True
17904,722010,12836,KEY WEST INTERNATIONAL AIRPORT,US,FL,KEYW,24.557,-81.755,0.3,19730101,20181019,True
17919,722020,12839,MIAMI INTERNATIONAL AIRPORT,US,FL,KMIA,25.788,-80.317,8.8,19730101,20181019,True
17933,722030,12844,PALM BEACH INTERNATIONAL AIRPORT,US,FL,KPBI,26.685,-80.09899999999999,5.8,19430206,20181019,True
17960,722046,12898,SPACE COAST REGIONAL AIRPORT,US,FL,KTIX,28.517,-80.8,10.7,20060101,20181019,True
17966,722050,12815,ORLANDO INTERNATIONAL AIRPORT,US,FL,KMCO,28.434,-81.325,27.4,19520507,20181019,True
17970,722052,53933,ALVA REGIONAL AIRPORT,US,OK,KAVK,36.773,-98.67,449.3,20060101,20181020,True
17976,722055,12861,OCALA INTERNATIONAL AIRPORT-JIM TAYLOR FIELD,US,FL,KOCF,29.166999999999998,-82.23299999999999,26.5,20060101,20181019,True
17984,722060,13889,JACKSONVILLE  INTERNATIONAL AIRPORT,US,FL,KJAX,30.495,-81.694,7.9,19480101,20181019,True
18017,722080,13880,CHARLESTON AFB/INTERNATIONAL AIRPORT,US,SC,KCHS,32.899,-80.041,12.2,19450101,20181019,True
18031,722091,53940,CLAREMORE REGIONAL AIRPORT,US,OK,KGCM,36.294000000000004,-95.479,221.0,20060101,20181019,True
18065,722110,12842,TAMPA INTERNATIONAL AIRPORT,US,FL,KTPA,27.962,-82.54,5.8,19400801,20181019,True
18081,722119,12883,LAKELAND LINDER REGIONAL AIRPORT,US,FL,KLAL,28.0,-82.05,43.3,20060101,20181019,True
18105,722132,63801,CONCORD REGIONAL AIRPORT,US,NC,KJQF,35.39,-80.707,214.9,20060101,20181019,True
18109,722134,63822,VIDALIA REGIONAL AIRPORT,US,GA,KVDI,32.193000000000005,-82.37200000000001,83.5,20060101,20181019,True
18116,722138,63852,STENNIS INTERNATIONAL AIRPORT,US,MS,KHSA,30.368000000000002,-89.455,7.0,20071030,20181019,True
18119,722140,93805,TALLAHASSEE REGIONAL AIRPORT,US,FL,KTLH,30.393,-84.353,16.8,19420501,20181019,True
18163,722166,93845,VALDOSTA REGIONAL AIRPORT,US,GA,KVLD,30.783,-83.277,60.4,19480101,20181019,True
18167,722168,4960,OLIVIA REGIONAL AIRPORT,US,MN,KOVL,44.778999999999996,-95.03299999999999,328.0,20060101,20181020,True
18171,722170,3813,MIDDLE GEORGIA REGIONAL AIRPORT,US,GA,KMCN,32.685,-83.65299999999999,104.6,19411020,20181019,True
18248,722213,12819,LEESBURG REGIONAL AIRPORT,US,FL,KLEE,28.820999999999998,-81.81,23.5,20060101,20181019,True
