,datetime,demand,abbr,datetime_utc,date,hour,usaf,wban,windir,windspeed,skycond,tempc,dewpoint,tempf
0,2018-10-14 00:00:00,10443.0,ISNE,2018-10-14 05:00:00,2018-10-14,0,725090,14739,999,,99999,,,
1,2018-10-13 23:00:00,10884.0,ISNE,2018-10-14 04:00:00,2018-10-13,23,725090,14739,310,31.0,22000,8.3,39.92,46.94
2,2018-10-13 22:00:00,11436.0,ISNE,2018-10-14 03:00:00,2018-10-13,22,725090,14739,290,41.0,22000,9.4,39.92,48.92
3,2018-10-13 21:00:00,12203.0,ISNE,2018-10-14 02:00:00,2018-10-13,21,725090,14739,280,46.0,22000,10.6,39.92,51.08
4,2018-10-13 20:00:00,12774.0,ISNE,2018-10-14 01:00:00,2018-10-13,20,725090,14739,280,31.0,22000,10.6,39.92,51.08
5,2018-10-13 19:00:00,13212.0,ISNE,2018-10-14 00:00:00,2018-10-13,19,725090,14739,280,41.0,22000,10.6,39.92,51.08
6,2018-10-13 17:00:00,12532.0,ISNE,2018-10-13 22:00:00,2018-10-13,17,725090,14739,280,46.0,22000,11.7,39.92,53.06
7,2018-10-13 16:00:00,11838.0,ISNE,2018-10-13 21:00:00,2018-10-13,16,725090,14739,300,51.0,22000,12.2,41.0,53.96
8,2018-10-13 15:00:00,11568.0,ISNE,2018-10-13 20:00:00,2018-10-13,15,725090,14739,290,36.0,7620,11.7,42.08,53.06
9,2018-10-13 14:00:00,11712.0,ISNE,2018-10-13 19:00:00,2018-10-13,14,725090,14739,290,57.0,610,11.1,42.98,51.98
10,2018-10-13 13:00:00,12099.0,ISNE,2018-10-13 18:00:00,2018-10-13,13,725090,14739,270,51.0,549,10.0,42.98,50.0
11,2018-10-13 12:00:00,12479.0,ISNE,2018-10-13 17:00:00,2018-10-13,12,725090,14739,260,62.0,1463,8.9,42.08,48.02
12,2018-10-13 11:00:00,12769.0,ISNE,2018-10-13 16:00:00,2018-10-13,11,725090,14739,270,46.0,1219,8.9,41.0,48.02
13,2018-10-13 10:00:00,12769.0,ISNE,2018-10-13 15:00:00,2018-10-13,10,725090,14739,280,51.0,518,8.9,42.08,48.02
14,2018-10-13 09:00:00,12471.0,ISNE,2018-10-13 14:00:00,2018-10-13,9,725090,14739,280,51.0,1189,10.0,42.08,50.0
15,2018-10-13 08:00:00,11807.0,ISNE,2018-10-13 13:00:00,2018-10-13,8,725090,14739,190,31.0,1524,10.0,41.0,50.0
16,2018-10-13 06:00:00,10926.0,ISNE,2018-10-13 11:00:00,2018-10-13,6,725090,14739,300,31.0,3658,10.6,39.92,51.08
17,2018-10-13 05:00:00,10346.0,ISNE,2018-10-13 10:00:00,2018-10-13,5,725090,14739,320,21.0,4267,10.6,39.02,51.08
18,2018-10-13 04:00:00,10153.0,ISNE,2018-10-13 09:00:00,2018-10-13,4,725090,14739,290,36.0,4267,10.0,39.92,50.0
19,2018-10-13 03:00:00,10099.0,ISNE,2018-10-13 08:00:00,2018-10-13,3,725090,14739,300,31.0,4267,10.6,39.92,51.08
20,2018-10-13 02:00:00,10218.0,ISNE,2018-10-13 07:00:00,2018-10-13,2,725090,14739,270,31.0,4267,10.6,39.92,51.08
21,2018-10-13 01:00:00,10459.0,ISNE,2018-10-13 06:00:00,2018-10-13,1,725090,14739,290,36.0,4267,10.6,39.92,51.08
22,2018-10-13 00:00:00,10820.0,ISNE,2018-10-13 05:00:00,2018-10-13,0,725090,14739,300,36.0,6706,11.1,39.02,51.98
23,2018-10-12 23:00:00,11098.0,ISNE,2018-10-13 04:00:00,2018-10-12,23,725090,14739,290,41.0,22000,11.1,39.92,51.98
24,2018-10-12 22:00:00,11843.0,ISNE,2018-10-13 03:00:00,2018-10-12,22,725090,14739,290,46.0,22000,11.7,39.92,53.06
25,2018-10-12 21:00:00,12550.0,ISNE,2018-10-13 02:00:00,2018-10-12,21,725090,14739,300,46.0,22000,13.3,39.92,55.94
26,2018-10-12 20:00:00,13275.0,ISNE,2018-10-13 01:00:00,2018-10-12,20,725090,14739,280,41.0,22000,13.3,41.0,55.94
27,2018-10-12 19:00:00,13783.0,ISNE,2018-10-13 00:00:00,2018-10-12,19,725090,14739,300,62.0,22000,14.4,39.02,57.92
28,2018-10-12 18:00:00,13911.0,ISNE,2018-10-12 23:00:00,2018-10-12,18,725090,14739,280,36.0,22000,15.0,42.08,59.0
29,2018-10-12 17:00:00,13437.0,ISNE,2018-10-12 22:00:00,2018-10-12,17,725090,14739,300,51.0,22000,16.1,41.0,60.98
30,2018-10-12 16:00:00,13053.0,ISNE,2018-10-12 21:00:00,2018-10-12,16,725090,14739,320,72.0,22000,17.2,42.98,62.96
31,2018-10-12 15:00:00,12660.0,ISNE,2018-10-12 20:00:00,2018-10-12,15,725090,14739,310,67.0,22000,17.2,44.06,62.96
32,2018-10-12 14:00:00,12610.0,ISNE,2018-10-12 19:00:00,2018-10-12,14,725090,14739,320,98.0,1372,16.7,44.06,62.06
33,2018-10-12 13:00:00,12704.0,ISNE,2018-10-12 18:00:00,2018-10-12,13,725090,14739,330,82.0,1219,16.1,46.94,60.98
34,2018-10-12 12:00:00,13154.0,ISNE,2018-10-12 17:00:00,2018-10-12,12,725090,14739,310,82.0,1219,14.4,46.94,57.92
35,2018-10-12 11:00:00,13695.0,ISNE,2018-10-12 16:00:00,2018-10-12,11,725090,14739,320,82.0,1067,13.9,48.02,57.02
36,2018-10-12 10:00:00,14015.0,ISNE,2018-10-12 15:00:00,2018-10-12,10,725090,14739,340,67.0,975,14.4,51.98,57.92
37,2018-10-12 09:00:00,14033.0,ISNE,2018-10-12 14:00:00,2018-10-12,9,725090,14739,340,62.0,1006,14.4,53.96,57.92
38,2018-10-12 08:00:00,13865.0,ISNE,2018-10-12 13:00:00,2018-10-12,8,725090,14739,360,46.0,213,14.4,55.04,57.92
39,2018-10-12 07:00:00,13485.0,ISNE,2018-10-12 12:00:00,2018-10-12,7,725090,14739,10,31.0,122,14.4,55.94,57.92
40,2018-10-12 06:00:00,12435.0,ISNE,2018-10-12 11:00:00,2018-10-12,6,725090,14739,340,26.0,91,14.4,55.94,57.92
41,2018-10-12 05:00:00,11590.0,ISNE,2018-10-12 10:00:00,2018-10-12,5,725090,14739,360,15.0,91,14.4,55.94,57.92
42,2018-10-12 04:00:00,11045.0,ISNE,2018-10-12 09:00:00,2018-10-12,4,725090,14739,50,26.0,122,14.4,55.94,57.92
43,2018-10-12 03:00:00,10847.0,ISNE,2018-10-12 08:00:00,2018-10-12,3,725090,14739,80,31.0,152,14.4,55.94,57.92
44,2018-10-12 02:00:00,10667.0,ISNE,2018-10-12 07:00:00,2018-10-12,2,725090,14739,130,31.0,183,15.0,55.94,59.0
45,2018-10-12 01:00:00,10688.0,ISNE,2018-10-12 06:00:00,2018-10-12,1,725090,14739,90,21.0,183,14.4,55.94,57.92
46,2018-10-12 00:00:00,11071.0,ISNE,2018-10-12 05:00:00,2018-10-12,0,725090,14739,20,21.0,244,14.4,55.04,57.92
47,2018-10-11 23:00:00,11907.0,ISNE,2018-10-12 04:00:00,2018-10-11,23,725090,14739,30,26.0,213,14.4,55.94,57.92
48,2018-10-11 22:00:00,12913.0,ISNE,2018-10-12 03:00:00,2018-10-11,22,725090,14739,10,15.0,183,15.0,55.94,59.0
49,2018-10-11 21:00:00,14055.0,ISNE,2018-10-12 02:00:00,2018-10-11,21,725090,14739,340,46.0,183,15.0,55.94,59.0
50,2018-10-11 20:00:00,15026.0,ISNE,2018-10-12 01:00:00,2018-10-11,20,725090,14739,80,21.0,183,14.4,55.04,57.92
51,2018-10-11 19:00:00,15710.0,ISNE,2018-10-12 00:00:00,2018-10-11,19,725090,14739,360,31.0,183,14.4,55.94,57.92
52,2018-10-11 18:00:00,16026.0,ISNE,2018-10-11 23:00:00,2018-10-11,18,725090,14739,340,41.0,1128,15.6,57.02,60.08
53,2018-10-11 17:00:00,15803.0,ISNE,2018-10-11 22:00:00,2018-10-11,17,725090,14739,70,51.0,1463,15.0,55.94,59.0
54,2018-10-11 16:00:00,15570.0,ISNE,2018-10-11 21:00:00,2018-10-11,16,725090,14739,50,57.0,122,15.0,57.02,59.0
55,2018-10-11 15:00:00,15519.0,ISNE,2018-10-11 20:00:00,2018-10-11,15,725090,14739,60,41.0,122,15.6,57.92,60.08
56,2018-10-11 11:00:00,15607.0,ISNE,2018-10-11 16:00:00,2018-10-11,11,725090,14739,50,21.0,152,17.2,59.0,62.96
57,2018-10-11 10:00:00,15502.0,ISNE,2018-10-11 15:00:00,2018-10-11,10,725090,14739,30,31.0,122,16.7,60.08,62.06
58,2018-10-11 09:00:00,15292.0,ISNE,2018-10-11 14:00:00,2018-10-11,9,725090,14739,50,21.0,91,16.7,59.0,62.06
59,2018-10-11 08:00:00,14963.0,ISNE,2018-10-11 13:00:00,2018-10-11,8,725090,14739,50,31.0,91,16.7,60.08,62.06
60,2018-10-11 07:00:00,14584.0,ISNE,2018-10-11 12:00:00,2018-10-11,7,725090,14739,30,31.0,91,16.1,60.08,60.98
61,2018-10-11 06:00:00,13514.0,ISNE,2018-10-11 11:00:00,2018-10-11,6,725090,14739,40,31.0,122,17.0,59.0,62.6
62,2018-10-11 05:00:00,12287.0,ISNE,2018-10-11 10:00:00,2018-10-11,5,725090,14739,40,36.0,152,17.2,60.08,62.96
63,2018-10-11 04:00:00,11729.0,ISNE,2018-10-11 09:00:00,2018-10-11,4,725090,14739,60,21.0,183,17.8,60.98,64.04
64,2018-10-11 03:00:00,11593.0,ISNE,2018-10-11 08:00:00,2018-10-11,3,725090,14739,60,31.0,305,17.8,62.06,64.04
65,2018-10-11 02:00:00,11714.0,ISNE,2018-10-11 07:00:00,2018-10-11,2,725090,14739,200,31.0,2134,21.1,66.92,69.98
66,2018-10-11 01:00:00,11801.0,ISNE,2018-10-11 06:00:00,2018-10-11,1,725090,14739,220,46.0,22000,21.7,66.92,71.06
67,2018-10-11 00:00:00,12050.0,ISNE,2018-10-11 05:00:00,2018-10-11,0,725090,14739,230,51.0,305,22.2,66.92,71.96
68,2018-10-10 23:00:00,12689.0,ISNE,2018-10-11 04:00:00,2018-10-10,23,725090,14739,220,57.0,22000,21.7,66.92,71.06
69,2018-10-10 22:00:00,13927.0,ISNE,2018-10-11 03:00:00,2018-10-10,22,725090,14739,220,46.0,22000,22.2,68.0,71.96
70,2018-10-10 21:00:00,15327.0,ISNE,2018-10-11 02:00:00,2018-10-10,21,725090,14739,210,51.0,22000,22.8,68.0,73.04
71,2018-10-10 20:00:00,16470.0,ISNE,2018-10-11 01:00:00,2018-10-10,20,725090,14739,220,57.0,22000,23.9,68.0,75.02
72,2018-10-10 18:00:00,17326.0,ISNE,2018-10-10 23:00:00,2018-10-10,18,725090,14739,230,51.0,22000,26.1,66.02,78.98
73,2018-10-10 16:00:00,16878.0,ISNE,2018-10-10 21:00:00,2018-10-10,16,725090,14739,240,57.0,22000,28.3,64.94,82.94
74,2018-10-10 15:00:00,16447.0,ISNE,2018-10-10 20:00:00,2018-10-10,15,725090,14739,240,77.0,22000,28.9,64.04,84.02
75,2018-10-10 14:00:00,16082.0,ISNE,2018-10-10 19:00:00,2018-10-10,14,725090,14739,240,67.0,22000,29.4,64.94,84.91999999999999
76,2018-10-10 13:00:00,15726.0,ISNE,2018-10-10 18:00:00,2018-10-10,13,725090,14739,250,57.0,22000,29.4,64.94,84.91999999999999
77,2018-10-10 10:00:00,14748.0,ISNE,2018-10-10 15:00:00,2018-10-10,10,725090,14739,270,51.0,22000,26.1,66.92,78.98
78,2018-10-10 09:00:00,14519.0,ISNE,2018-10-10 14:00:00,2018-10-10,9,725090,14739,260,57.0,22000,25.0,66.92,77.0
79,2018-10-10 08:00:00,14398.0,ISNE,2018-10-10 13:00:00,2018-10-10,8,725090,14739,240,67.0,22000,23.3,66.92,73.94
80,2018-10-10 07:00:00,14112.0,ISNE,2018-10-10 12:00:00,2018-10-10,7,725090,14739,240,46.0,7620,21.1,66.02,69.98
81,2018-10-10 06:00:00,13221.0,ISNE,2018-10-10 11:00:00,2018-10-10,6,725090,14739,230,57.0,7620,20.6,66.02,69.08
82,2018-10-10 05:00:00,12114.0,ISNE,2018-10-10 10:00:00,2018-10-10,5,725090,14739,220,51.0,22000,20.6,66.02,69.08
83,2018-10-10 04:00:00,11261.0,ISNE,2018-10-10 09:00:00,2018-10-10,4,725090,14739,230,51.0,22000,20.6,66.02,69.08
84,2018-10-10 03:00:00,11019.0,ISNE,2018-10-10 08:00:00,2018-10-10,3,725090,14739,230,46.0,22000,20.6,66.02,69.08
85,2018-10-10 02:00:00,11137.0,ISNE,2018-10-10 07:00:00,2018-10-10,2,725090,14739,230,46.0,22000,20.6,66.02,69.08
86,2018-10-10 01:00:00,11410.0,ISNE,2018-10-10 06:00:00,2018-10-10,1,725090,14739,220,62.0,22000,21.1,66.02,69.98
87,2018-10-10 00:00:00,11638.0,ISNE,2018-10-10 05:00:00,2018-10-10,0,725090,14739,220,41.0,22000,21.1,66.02,69.98
88,2018-10-09 23:00:00,11984.0,ISNE,2018-10-10 04:00:00,2018-10-09,23,725090,14739,220,62.0,22000,21.1,66.02,69.98
89,2018-10-09 22:00:00,13143.0,ISNE,2018-10-10 03:00:00,2018-10-09,22,725090,14739,230,62.0,22000,21.1,66.02,69.98
90,2018-10-09 21:00:00,14400.0,ISNE,2018-10-10 02:00:00,2018-10-09,21,725090,14739,230,62.0,22000,21.7,66.92,71.06
91,2018-10-09 20:00:00,15401.0,ISNE,2018-10-10 01:00:00,2018-10-09,20,725090,14739,220,62.0,22000,22.2,66.92,71.96
92,2018-10-09 19:00:00,16123.0,ISNE,2018-10-10 00:00:00,2018-10-09,19,725090,14739,220,62.0,22000,23.3,66.92,73.94
93,2018-10-09 18:00:00,16136.0,ISNE,2018-10-09 23:00:00,2018-10-09,18,725090,14739,220,62.0,22000,23.9,66.92,75.02
94,2018-10-09 17:00:00,15595.0,ISNE,2018-10-09 22:00:00,2018-10-09,17,725090,14739,230,36.0,6096,25.0,66.02,77.0
95,2018-10-09 16:00:00,15126.0,ISNE,2018-10-09 21:00:00,2018-10-09,16,725090,14739,230,57.0,914,25.6,66.02,78.08
96,2018-10-09 15:00:00,14749.0,ISNE,2018-10-09 20:00:00,2018-10-09,15,725090,14739,240,51.0,22000,26.1,66.02,78.98
97,2018-10-09 14:00:00,14610.0,ISNE,2018-10-09 19:00:00,2018-10-09,14,725090,14739,230,77.0,792,25.6,66.02,78.08
98,2018-10-09 13:00:00,14499.0,ISNE,2018-10-09 18:00:00,2018-10-09,13,725090,14739,240,62.0,762,25.6,66.02,78.08
99,2018-10-09 12:00:00,14249.0,ISNE,2018-10-09 17:00:00,2018-10-09,12,725090,14739,250,72.0,701,26.0,66.2,78.8
100,2018-10-09 11:00:00,14063.0,ISNE,2018-10-09 16:00:00,2018-10-09,11,725090,14739,240,72.0,22000,25.0,66.02,77.0
101,2018-10-09 10:00:00,13984.0,ISNE,2018-10-09 15:00:00,2018-10-09,10,725090,14739,240,67.0,22000,23.9,64.94,75.02
102,2018-10-09 09:00:00,14025.0,ISNE,2018-10-09 14:00:00,2018-10-09,9,725090,14739,220,72.0,914,21.1,64.04,69.98
103,2018-10-09 08:00:00,13865.0,ISNE,2018-10-09 13:00:00,2018-10-09,8,725090,14739,220,72.0,274,19.4,62.96,66.92
