ID,NAME,abbrev,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_DESC,SOURCE,WEBSITE,PEAK_MONTH,AVAIL_CAP,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE__Are,lat,lon
803,ARIZONA PUBLIC SERVICE COMPANY,AZPS,MS # 9997,PHOENIX,AZ,85072,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://webcache.googleusercontent.com/search?q=cache:JDyOjDQm7XQJ:https://www.aps.com/en/globalservices/serviceareamaps+&cd=1&hl=en&ct=clnk&gl=us,6,71475,90516,7275,2260,4.17188E+11,-111.5699061,34.31604875
924,"ASSOCIATED ELECTRIC COOPERATIVE, INC.",AECI,2814 S GOLDEN AVE,SPRINGFIELD,MO,65807,(417) 881-1204,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.aeci.org/,12,61242,73752,4521,1143,4.35974E+11,-93.39119514,37.98711684
20169,AVISTA CORPORATION,AVA,1411 EAST MISSION AVENUE,SPOKANE,WA,99220,(509) 489-0500,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.avistacorp.com/ContactUs/Pages/ContactUs.aspx,12,27943,28843,2273,961,2.48765E+11,-116.9054916,47.03916728
16534,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,BANC,6201 S STREET,SACRAMENTO,CA,95817,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",NOT AVAILABLE,7,43244,53053,4426,2183,54696687975,-121.8990373,39.65798266
1738,BONNEVILLE POWER ADMINISTRATION,BPAT,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.bpa.gov/,12,254766,478749,9739,4105,1.41938E+12,-117.4249313,44.86867302
2775,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,CISO,250 OUTCROPPING WAY,FOLSOM,CA,95630,(916) 351-4400,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.caiso.com/,7,659412,799412,46008,18354,6.7435E+11,-119.5833716,37.35933785
18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",TPWR,3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",NOT AVAILABLE,12,9022,15703,912,351,40872454899,-122.2583941,47.06184632
5416,DUKE ENERGY CAROLINAS,DUK,DEC-43A/550 SOUTH TRYON STREET,CHARLOTTE,NC,28202,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",NOT AVAILABLE,7,261865,297312,20671,7067,1.3991E+11,-81.28333938,35.35049552
5701,EL PASO ELECTRIC COMPANY,EPE,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.epelectric.com/,7,16538,24719,1877,525,2.53437E+11,-103.7033031,30.9347465
5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCO,7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.ercot.com/,8,984731,1099555,71109,25051,6.98097E+11,-98.75898056,31.22044445
6452,FLORIDA POWER & LIGHT COMPANY,FPC,P O BOX 29100,MIAMI,FL,33102,(800) 375-2434,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.sec.gov/Archives/edgar/data/37634/000075330812000025/fplserviceterritorymap.jpg",www.fpl.com,7,285800,322349,23725,7365,85882781166,-81.28190675,27.63499007
6909,GAINESVILLE REGIONAL UTILITIES,GVL,P O BOX 147117,GAINESVILLE,FL,32614,(352) 334-3434,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.gru.com/,8,6487,7752,429,0,3337223073,-82.35773423,29.6748267
9191,IDAHO POWER COMPANY,IPCO,1221 W. IDAHO STREET,BOISE,ID,83702,(800) 488-6151,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.idahopower-com/aboutus/companyinformation/contactus-cfm,6,29672,38913,3657,1177,4.40054E+11,-116.0573537,43.83216673
9216,IMPERIAL IRRIGATION DISTRICT,IID,333 EAST BARIONI BOULEVARDP O,IMPERIAL,CA,92251,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.iid.com/,6,6791,8880,1060,0,59662676441,-116.0136941,33.36077994
13434,ISO NEW ENGLAND INC.,ISNE,1 SULLIVAN RD,HOLYOKE,MA,1040,(413) 535-4000,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.iso-ne.com/,8,353965,417258,25596,8851,2.47446E+11,-71.40355782,43.56800236
9617,JEA,JEA,21 WEST CHURCH ST.,JACKSONVILLE,FL,32202,(904) 665-6000,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.jea.com/outage_center/outage_map/",https://www.jea.com/,7,41230,43848,2763,560,13915829969,-83.7300341,30.4743566
11208,LOS ANGELES DEPARTMENT OF WATER AND POWER,LDWP,P O BOX 51111,LOS ANGELES,CA,90051,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",NOT AVAILABLE,6,77392,103551,6692,2164,56651334118,-117.638733,35.89799511
11249,LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES,LGEE,220 W MAIN SREET,LOUISVILLE,KY,40202,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, http://energy.ky.gov/generation/Documents/Electric_Service_Areas_Legal_Size_Map.pdf",NOT AVAILABLE,7,101675,112117,7068,2635,1.18761E+11,-85.33552962,37.52114801
56669,"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..",MISO,720 WEST CITY CENTER DRIVE,CARMEL,IN,46032,(317) 249-5400,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.misoenergy.org/,7,1452237,1890594,115510,50173,2.71855E+12,-91.84112491,40.95588162
13407,NEVADA POWER COMPANY,NEVP,6226 WEST SAHARA,LAS VEGAS,NV,89151,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.nvenergy.com/,7,108505,112785,9059,2747,6.22033E+11,-116.3828584,39.17879498
13485,"NEW SMYRNA BEACH, UTILITIES COMMISSION OF",NSB,200 CANAL ST.,NEW SMYRNA BEACH,FL,32168,(386) 427-1361,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",http://www.ucnsb.net/,,,,,,4217909541,-81.18950942,29.06241918
13501,NEW YORK INDEPENDENT SYSTEM OPERATOR,NYIS,10 KREY BOULEVARD,RENSSELAER,NY,12144,(518) 356-6000,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.nyiso.com/,8,470676,410278,32075,12023,2.39452E+11,-75.50372006,42.92711645
12825,NORTHWESTERN ENERGY (NWMT),NWMT,40 E. BROADWAY,BUTTE,MT,59701,(888) 467-2669,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.northwesternenergy-com/contact-us,12,22609,32300,1808,884,7.21975E+11,-110.0748673,46.75233249
14015,OHIO VALLEY ELECTRIC CORPORATION,OVEC,3932 U.S. ROUTE 23,PIKETON,OH,45661,(740) 289-7200,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.ovec.com/,1,20984,26666,98,0,5699772645,-84.57284071,38.91086456
14379,PACIFICORP - EAST,PACE,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.pacificorp.com/,7,121092,130862,8628,4201,1.07683E+12,-110.4907299,40.03652543
