,datetime,demand,abbr,datetime_utc,date,hour,avg
0,2018-10-20 17:00:00,3707.0,AZPS,2018-10-21 00:00:00,2018-10-20,17,69.25999999999999
1,2018-10-20 16:00:00,3586.0,AZPS,2018-10-20 23:00:00,2018-10-20,16,67.055
2,2018-10-20 15:00:00,3395.0,AZPS,2018-10-20 22:00:00,2018-10-20,15,64.13
3,2018-10-20 01:00:00,2608.0,AZPS,2018-10-20 08:00:00,2018-10-20,1,71.285
4,2018-10-20 00:00:00,2737.0,AZPS,2018-10-20 07:00:00,2018-10-20,0,74.57000000000001
5,2018-10-19 23:00:00,2927.0,AZPS,2018-10-20 06:00:00,2018-10-19,23,75.74000000000001
6,2018-10-19 22:00:00,3096.0,AZPS,2018-10-20 05:00:00,2018-10-19,22,74.57000000000001
7,2018-10-19 21:00:00,3205.0,AZPS,2018-10-20 04:00:00,2018-10-19,21,72.86
8,2018-10-19 20:00:00,3262.0,AZPS,2018-10-20 03:00:00,2018-10-19,20,71.825
9,2018-10-19 19:00:00,3364.0,AZPS,2018-10-20 02:00:00,2018-10-19,19,69.395
10,2018-10-19 18:00:00,3336.0,AZPS,2018-10-20 01:00:00,2018-10-19,18,67.00999999999999
11,2018-10-19 17:00:00,3241.0,AZPS,2018-10-20 00:00:00,2018-10-19,17,63.86
12,2018-10-19 16:00:00,3051.0,AZPS,2018-10-19 23:00:00,2018-10-19,16,61.114999999999995
13,2018-10-19 15:00:00,2890.0,AZPS,2018-10-19 22:00:00,2018-10-19,15,58.46
14,2018-10-19 01:00:00,2433.0,AZPS,2018-10-19 08:00:00,2018-10-19,1,66.47
15,2018-10-19 00:00:00,2554.0,AZPS,2018-10-19 07:00:00,2018-10-19,0,69.39500000000001
16,2018-10-18 23:00:00,2763.0,AZPS,2018-10-19 06:00:00,2018-10-18,23,70.385
17,2018-10-18 22:00:00,2961.0,AZPS,2018-10-19 05:00:00,2018-10-18,22,70.385
18,2018-10-18 21:00:00,3084.0,AZPS,2018-10-19 04:00:00,2018-10-18,21,68.85499999999999
19,2018-10-18 20:00:00,3152.0,AZPS,2018-10-19 03:00:00,2018-10-18,20,67.72999999999999
20,2018-10-18 19:00:00,3207.0,AZPS,2018-10-19 02:00:00,2018-10-18,19,65.47999999999999
21,2018-10-18 18:00:00,3095.0,AZPS,2018-10-19 01:00:00,2018-10-18,18,63.32
22,2018-10-18 17:00:00,2964.0,AZPS,2018-10-19 00:00:00,2018-10-18,17,60.934999999999995
23,2018-10-18 16:00:00,2804.0,AZPS,2018-10-18 23:00:00,2018-10-18,16,58.505
24,2018-10-18 15:00:00,2657.0,AZPS,2018-10-18 22:00:00,2018-10-18,15,56.84
25,2018-10-18 01:00:00,2376.0,AZPS,2018-10-18 08:00:00,2018-10-18,1,62.735
26,2018-10-18 00:00:00,2509.0,AZPS,2018-10-18 07:00:00,2018-10-18,0,65.435
27,2018-10-17 23:00:00,2694.0,AZPS,2018-10-18 06:00:00,2018-10-17,23,67.19
28,2018-10-17 22:00:00,2881.0,AZPS,2018-10-18 05:00:00,2018-10-17,22,67.19
29,2018-10-17 21:00:00,3010.0,AZPS,2018-10-18 04:00:00,2018-10-17,21,67.01
30,2018-10-17 20:00:00,3053.0,AZPS,2018-10-18 03:00:00,2018-10-17,20,65.57
31,2018-10-17 19:00:00,3071.0,AZPS,2018-10-18 02:00:00,2018-10-17,19,63.635000000000005
32,2018-10-17 18:00:00,2919.0,AZPS,2018-10-18 01:00:00,2018-10-17,18,61.43
33,2018-10-17 17:00:00,2773.0,AZPS,2018-10-18 00:00:00,2018-10-17,17,58.955
34,2018-10-17 16:00:00,2591.0,AZPS,2018-10-17 23:00:00,2018-10-17,16,56.300000000000004
35,2018-10-17 15:00:00,2479.0,AZPS,2018-10-17 22:00:00,2018-10-17,15,54.635000000000005
36,2018-10-17 01:00:00,2347.0,AZPS,2018-10-17 08:00:00,2018-10-17,1,57.38
37,2018-10-17 00:00:00,2425.0,AZPS,2018-10-17 07:00:00,2018-10-17,0,58.81999999999999
38,2018-10-16 23:00:00,2645.0,AZPS,2018-10-17 06:00:00,2018-10-16,23,59.45
39,2018-10-16 22:00:00,2835.0,AZPS,2018-10-17 05:00:00,2018-10-16,22,59.135000000000005
40,2018-10-16 21:00:00,2958.0,AZPS,2018-10-17 04:00:00,2018-10-16,21,58.55
41,2018-10-16 20:00:00,3027.0,AZPS,2018-10-17 03:00:00,2018-10-16,20,56.93000000000001
42,2018-10-16 19:00:00,3065.0,AZPS,2018-10-17 02:00:00,2018-10-16,19,55.489999999999995
43,2018-10-16 18:00:00,2905.0,AZPS,2018-10-17 01:00:00,2018-10-16,18,54.275000000000006
44,2018-10-16 17:00:00,2731.0,AZPS,2018-10-17 00:00:00,2018-10-16,17,52.025000000000006
45,2018-10-16 16:00:00,2592.0,AZPS,2018-10-16 23:00:00,2018-10-16,16,51.35
46,2018-10-16 15:00:00,2511.0,AZPS,2018-10-16 22:00:00,2018-10-16,15,50.089999999999996
47,2018-10-16 01:00:00,2465.0,AZPS,2018-10-16 08:00:00,2018-10-16,1,62.42
